Jaar,Totaal alle leeftijden,0 jaar,1-4 jaar,5-9 jaar,10-19 jaar,20-39 jaar,40-59 jaar,60-79 jaar,80 jaar en ouder
1950,516,3,187,76,63,68,64,49,6
1951,442,1,155,69,44,66,47,56,4
1952,454,0,146,71,52,58,71,50,6
1953,474,3,152,102,68,61,39,42,7
1954,410,4,147,72,51,48,42,35,11
1955,453,1,119,89,74,60,44,49,17
1956,382,0,131,70,45,39,39,50,8
1957,465,0,136,75,79,62,34,62,17
1958,416,1,139,83,54,39,45,50,5
1959,470,1,146,79,90,71,33,36,14
1960,358,1,146,62,42,28,26,40,13
1961,426,0,139,79,66,54,28,48,12
1962,365,3,116,58,56,36,37,50,9
1963,410,2,151,70,55,49,29,44,10
1964,415,0,142,61,66,41,38,52,15
1965,372,1,132,60,43,45,42,41,8
1966,435,1,121,86,67,43,43,58,16
1967,424,2,139,63,73,56,34,40,17
1968,333,2,82,77,36,41,38,49,8
1969,334,2,107,53,46,53,28,35,10
1970,302,4,92,50,36,44,35,30,11
1971,308,0,115,46,20,51,27,40,9
1972,285,2,107,38,23,33,34,38,10
1973,301,0,102,44,27,50,39,33,6
1974,248,0,99,40,14,21,35,27,12
1975,273,3,84,32,17,49,45,30,13
1976,247,2,61,42,19,37,43,35,8
1977,154,0,61,23,9,14,8,30,9
1978,181,1,63,20,12,28,25,20,12
1979,165,1,61,20,13,17,21,26,6
1980,137,1,36,22,9,24,22,18,5
1981,167,0,57,14,12,30,25,23,6
1982,188,1,56,21,15,34,26,27,8
1983,158,0,40,12,10,34,32,24,6
1984,126,0,35,10,10,26,28,13,4
1985,119,0,29,14,13,15,25,17,6
1986,126,0,28,12,10,30,28,14,4
1987,97,0,29,9,9,10,23,12,5
1988,99,0,29,8,3,15,22,18,4
1989,105,0,22,7,5,15,23,25,8
1990,111,0,31,11,10,15,22,17,5
1991,83,0,26,10,5,12,12,13,5
1992,95,2,24,6,5,13,19,20,6
1993,90,0,20,13,3,16,20,13,5
1994,104,1,22,9,9,19,20,18,6
1995,91,2,20,7,6,13,20,15,8
1996,71,0,21,8,6,13,15,5,3
1997,94,0,26,9,6,12,22,12,7
1998,83,1,19,4,2,20,22,11,4
1999,91,1,21,5,8,20,16,18,2
2000,107,0,22,2,3,14,34,24,8
2001,85,1,14,4,5,8,27,18,8
2002,115,2,21,6,7,11,32,27,9
2003,87,0,12,2,6,13,25,23,6
2004,96,2,13,6,5,10,31,25,4
2005,93,0,15,4,4,11,25,28,6
2006,88,0,9,5,3,5,28,30,8
2007,76,0,8,2,5,11,20,20,10
2008,77,2,9,2,4,9,19,26,6
2009,81,0,8,5,2,11,27,19,9
2010,80,0,8,2,9,13,17,22,9
2011,74,0,3,1,1,15,22,25,7
2012,81,0,8,1,6,13,23,23,7
2013,84,1,5,2,9,9,27,20,11
2014,77,0,5,5,5,9,16,30,7
2015,83,1,3,3,2,16,17,23,18
2016,86,0,4,3,6,12,20,34,7
2017,86,1,5,2,9,15,21,20,13
